agent,condition,replication,rho_dn,rho_dn_deliverable,dn_deal,chain_impasse,avoidable_impasse,below_true_batna,below_static_tau,stockout,shortfall,pareto_efficient,rho_up,up_deal,first_bid_ratio,net_value,reward
Dyn-BATNA,shock,7,0.302,0.332,0.94,0.06,0.06,0.02,0.76,0.08,0.38,0.574468085106383,0.8536,0.92,0.6291,0.5357,0.5313
Dyn-tau-nohedge,no-shock,7,0.5906,0.5906,0.94,0.06,0.06,0.0,0.0,0.0,0.0,0.7872340425531915,0.7412,0.96,0.6296,0.6454,0.6334
Dyn-tau-nohedge,shock,7,0.461,0.509,0.94,0.06,0.06,0.0,0.44,0.7,14.04,0.0425531914893617,0.8534,0.92,0.6296,0.4918,0.4874
Static-tau,no-shock,7,0.5975,0.5975,0.96,0.04,0.04,0.0,0.0,0.0,0.0,0.7916666666666666,0.7339,0.98,0.635,0.6544,0.6464
Static-tau,shock,7,0.5603,0.6183,0.68,0.32,0.32,0.0,0.0,0.62,9.84,0.058823529411764705,0.904,0.66,0.635,0.421,0.3106
Surplus,no-shock,7,0.3871,0.3871,1.0,0.0,0.0,0.54,0.54,0.0,0.0,0.44,0.7295,1.0,0.6404,0.5583,0.5583
Surplus,shock,7,0.2746,0.3064,0.82,0.18,0.18,0.38,0.6,0.22,2.72,0.1951219512195122,0.9035,0.66,0.6404,0.3978,0.2325
Dyn-BATNA,no-shock,8,0.5683,0.5683,0.9,0.1,0.08,0.0,0.0,0.0,0.0,0.6222222222222222,0.7579,1.0,0.6291,0.6547,0.6347
Dyn-BATNA,shock,8,0.3128,0.3415,0.96,0.04,0.04,0.04,0.72,0.08,0.2,0.5625,0.863,0.92,0.6291,0.5466,0.5437
Dyn-tau-nohedge,no-shock,8,0.5995,0.5995,0.9,0.1,0.08,0.0,0.0,0.0,0.0,0.7555555555555555,0.7576,1.0,0.6296,0.6686,0.6486
Dyn-tau-nohedge,shock,8,0.4424,0.4832,0.96,0.04,0.04,0.04,0.48,0.74,11.56,0.0625,0.8629,0.92,0.6296,0.5055,0.5026
Static-tau,no-shock,8,0.5945,0.5945,0.9,0.1,0.08,0.0,0.0,0.0,0.0,0.6888888888888889,0.7504,1.0,0.635,0.6627,0.6427
Static-tau,shock,8,0.5932,0.6495,0.7,0.3,0.3,0.0,0.0,0.6,8.84,0.11428571428571428,0.8941,0.7,0.635,0.4606,0.3158
Surplus,no-shock,8,0.4133,0.4133,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.7473,1.0,0.6404,0.5803,0.5803
Surplus,shock,8,0.3382,0.3737,0.84,0.16,0.16,0.42,0.54,0.34,4.64,0.21428571428571427,0.894,0.7,0.6404,0.4211,0.2502
Dyn-BATNA,no-shock,9,0.5562,0.5604,0.92,0.08,0.06,0.0,0.0,0.0,0.0,0.5434782608695652,0.7549,0.98,0.6291,0.6418,0.6258
Dyn-BATNA,shock,9,0.326,0.3554,0.96,0.04,0.02,0.02,0.68,0.02,0.12,0.6041666666666666,0.8614,0.96,0.6291,0.5724,0.5694
Dyn-tau-nohedge,no-shock,9,0.5774,0.5814,0.94,0.06,0.04,0.0,0.0,0.0,0.0,0.6382978723404256,0.7545,0.98,0.6296,0.6531,0.6411
Dyn-tau-nohedge,shock,9,0.4569,0.4978,0.98,0.02,0.02,0.02,0.42,0.68,11.84,0.10204081632653061,0.8612,0.96,0.6296,0.5343,0.5341
Static-tau,no-shock,9,0.5885,0.5926,0.94,0.06,0.04,0.0,0.0,0.0,0.0,0.6595744680851063,0.7468,0.98,0.635,0.6545,0.6425
Static-tau,shock,9,0.5484,0.6044,0.74,0.26,0.24,0.0,0.0,0.58,8.26,0.13513513513513514,0.9161,0.72,0.635,0.4754,0.3244
Surplus,no-shock,9,0.3725,0.3725,1.0,0.0,0.0,0.56,0.56,0.0,0.0,0.38,0.743,1.0,0.6404,0.5577,0.5577
Surplus,shock,9,0.2886,0.3185,0.88,0.12,0.12,0.48,0.62,0.26,3.74,0.25,0.9158,0.72,0.6404,0.4294,0.2484
