agent,condition,scenario,episode,seed,shock,buyer_type,severity,t_s,disruption_type,supplier_port,entry_port,invalid_actions,gated_turns,up_deal,first_bid_ratio,rho_up,rho_up_static,rho_up_agent,dn_deal,tau_true_close,tau_obs_close,qty_committed,shortfall,stockout,fill_rate_realized,rho_dn,rho_dn_deliverable,below_true_batna,below_static_tau,pareto_efficient,chain_impasse,avoidable_impasse,net_value,reward
Dyn-BATNA,no-shock,13,54,900013,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6291,0.8213,0.8213,0.8213,True,0.4,0.4,120,0,False,1.0,0.7354,0.7354,False,False,False,False,False,0.7784,0.7784
Dyn-tau-nohedge,no-shock,13,55,900013,False,cooperative,0.0,-1,none,Shanghai,Houston,0,0,True,0.6296,0.8213,0.8213,0.8213,True,0.4,0.4,120,0,False,1.0,0.7354,0.7354,False,False,False,False,False,0.7784,0.7784
Surplus,no-shock,14,56,900014,False,competitive,0.0,-1,none,Chennai,Los Angeles,0,0,True,0.6404,0.6536,0.6536,0.6536,True,0.4,0.4,120,0,False,1.0,0.5693,0.5693,False,False,True,False,False,0.6114,0.6114
Static-tau,no-shock,14,57,900014,False,competitive,0.0,-1,none,Chennai,Los Angeles,0,0,True,0.635,0.6536,0.6536,0.6536,True,0.4,0.4,120,0,False,1.0,0.4199,0.4199,False,False,True,False,False,0.5367,0.5367
Dyn-BATNA,no-shock,14,58,900014,False,competitive,0.0,-1,none,Chennai,Los Angeles,0,0,True,0.6291,0.6536,0.6536,0.6536,True,0.4,0.4,100,0,False,1.0,0.5985,0.5985,False,False,False,False,False,0.626,0.626
Dyn-tau-nohedge,no-shock,14,59,900014,False,competitive,0.0,-1,none,Chennai,Los Angeles,0,0,True,0.6296,0.6536,0.6536,0.6536,True,0.4,0.4,120,0,False,1.0,0.6584,0.6584,False,False,True,False,False,0.656,0.656
Surplus,no-shock,15,60,900015,False,competitive,0.0,-1,none,Kaohsiung,Houston,0,0,False,0.6404,,,,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.2,0.0
Static-tau,no-shock,15,61,900015,False,competitive,0.0,-1,none,Kaohsiung,Houston,0,0,False,0.635,,,,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.2,0.0
Dyn-BATNA,no-shock,15,62,900015,False,competitive,0.0,-1,none,Kaohsiung,Houston,0,0,False,0.6291,,,,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.2,0.0
Dyn-tau-nohedge,no-shock,15,63,900015,False,competitive,0.0,-1,none,Kaohsiung,Houston,0,0,False,0.6296,,,,False,0.4,0.4,0,0,False,1.0,,,False,False,,True,True,0.2,0.0
Surplus,no-shock,16,64,900016,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6404,0.8917,0.8917,0.8917,True,0.4,0.4,20,0,False,1.0,0.0645,0.0645,True,True,False,False,False,0.4781,0.4781
Static-tau,no-shock,16,65,900016,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.635,0.9004,0.9004,0.9004,True,0.4,0.4,100,0,False,1.0,0.4582,0.4582,False,False,False,False,False,0.6793,0.6793
Dyn-BATNA,no-shock,16,66,900016,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6291,0.9064,0.9064,0.9064,True,0.4,0.4,100,0,False,1.0,0.4582,0.4582,False,False,False,False,False,0.6823,0.6823
Dyn-tau-nohedge,no-shock,16,67,900016,False,competitive,0.0,-1,none,Chennai,Houston,0,5,True,0.6296,0.9064,0.9064,0.9064,True,0.4,0.4,100,0,False,1.0,0.4582,0.4582,False,False,False,False,False,0.6823,0.6823
Surplus,no-shock,17,68,900017,False,competitive,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6404,0.7768,0.7768,0.7768,True,0.4,0.4,20,0,False,1.0,0.0808,0.0808,True,True,False,False,False,0.4288,0.4288
Static-tau,no-shock,17,69,900017,False,competitive,0.0,-1,none,Manzanillo,Houston,0,0,True,0.635,0.7844,0.7844,0.7844,True,0.4,0.4,120,0,False,1.0,0.4848,0.4848,False,False,True,False,False,0.6346,0.6346
Dyn-BATNA,no-shock,17,70,900017,False,competitive,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6291,0.7954,0.7954,0.7954,True,0.4,0.4,120,0,False,1.0,0.4848,0.4848,False,False,True,False,False,0.6401,0.6401
Dyn-tau-nohedge,no-shock,17,71,900017,False,competitive,0.0,-1,none,Manzanillo,Houston,0,0,True,0.6296,0.7954,0.7954,0.7954,True,0.4,0.4,120,0,False,1.0,0.4848,0.4848,False,False,True,False,False,0.6401,0.6401
Surplus,no-shock,18,72,900018,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6404,0.7666,0.7666,0.7666,True,0.4,0.4,100,0,False,1.0,0.092,0.092,True,True,True,False,False,0.4293,0.4293
Static-tau,no-shock,18,73,900018,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.635,0.7666,0.7666,0.7666,True,0.4,0.4,100,0,False,1.0,0.4332,0.4332,False,False,True,False,False,0.5999,0.5999
Dyn-BATNA,no-shock,18,74,900018,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6291,0.7666,0.7666,0.7666,True,0.4,0.4,100,0,False,1.0,0.4332,0.4332,False,False,True,False,False,0.5999,0.5999
Dyn-tau-nohedge,no-shock,18,75,900018,False,cooperative,0.0,-1,none,Busan,Oakland,0,5,True,0.6296,0.7666,0.7666,0.7666,True,0.4,0.4,100,0,False,1.0,0.4332,0.4332,False,False,True,False,False,0.5999,0.5999
